,,,,,,reported,,,calculated,,calculated,,reported,calculated,,,,,,,,,,,,,,,,,,,,,,
StudyID,EstimateID,Title,comment,Author(s),PubDate,TS_PA_EffSize,bp_PA_EffSize,EffSizeSE,t,k,df,t_CorCoef,rep_CorCoef,CorCoefCorrected,CorCoefSE,Zr,ZrSE,ZrVar,ParSex,Par_SS,OffSex,Off_SS,n_obs,Species,SpermProdSeason,Phylogeny,Tissue,MethFact,OffAgeTL,W_B_PEff,EnvEff,EnvCond,MF_ID,StatM,z_transfTL,LinQuadEff
11,46,Decreasing initial telomere length in humans intergenerationally understates age-associated telomere shortening,Table 1; NHLBI-FHS ,"Holohan et al., 2015",2015-05-07,,14.56,1.7959,8.107,3,2174,0.171,,0.17135,0.0208175,,,,M,NA,Both,2177,2177,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,No,Human,No,Regression,No,Linear
11,47,Decreasing initial telomere length in humans intergenerationally understates age-associated telomere shortening,Table 1; Asklepios,"Holohan et al., 2015",2015-05-07,,17.17,2.1735,7.900,3,2174,0.167,,0.16709,0.0208484,,,,M,NA,Both,2177,2177,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,No,Human,No,Regression,No,Linear
11,48,Decreasing initial telomere length in humans intergenerationally understates age-associated telomere shortening,Table 1; Combined,"Holohan et al., 2015",2015-05-07,,14.85,1.1378,13.052,3,2431,0.256,,0.25595,0.0189531,,,,M,NA,Both,2434,2434,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,No,Human,No,Regression,No,Linear
12,49,"Meta-analysis of telomere length in 19 713 subjects reveals high heritability, stronger maternal inheritance and a paternal age effect",ERF,"Broer et al., 2013",2016-01-16,0.0086,,0.0038,2.263,3,557,0.095,,0.09554,0.0419846,,,,M,NA,Both,560,560,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
12,50,"Meta-analysis of telomere length in 19 713 subjects reveals high heritability, stronger maternal inheritance and a paternal age effect",GRAPHIC,"Broer et al., 2013",2016-01-16,0.0053,,0.0030,1.767,3,980,0.056,,0.05637,0.0318423,,,,M,NA,Both,983,983,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
12,51,"Meta-analysis of telomere length in 19 713 subjects reveals high heritability, stronger maternal inheritance and a paternal age effect",LLS,"Broer et al., 2013",2016-01-16,0.0029,,0.0021,1.381,3,1584,0.035,,0.03469,0.0250957,,,,M,NA,Both,1587,1587,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
12,52,"Meta-analysis of telomere length in 19 713 subjects reveals high heritability, stronger maternal inheritance and a paternal age effect",NTR,"Broer et al., 2013",2016-01-16,0.008,,0.0031,2.581,3,1302,0.071,,0.07136,0.0275726,,,,M,NA,Both,1305,1305,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
12,53,"Meta-analysis of telomere length in 19 713 subjects reveals high heritability, stronger maternal inheritance and a paternal age effect",QIMR,"Broer et al., 2013",2016-01-16,0.0066,,0.0048,1.375,3,689,0.052,,0.05235,0.0379926,,,,M,NA,Both,692,692,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Both,Neither,No,Human,No,Regression,No,Linear
12,54,"Meta-analysis of telomere length in 19 713 subjects reveals high heritability, stronger maternal inheritance and a paternal age effect",Meta-analysis,"Broer et al., 2013",2016-01-16,0.0053,,0.0013,4.077,8,5119,0.057,,0.05690,0.0139247,,,,M,NA,Both,5127,5127,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
12,55,"Meta-analysis of telomere length in 19 713 subjects reveals high heritability, stronger maternal inheritance and a paternal age effect",ERF,"Broer et al., 2013",2016-01-16,0.0035,,0.0028,1.250,3,575,0.052,,0.05210,0.0415897,,,,F,NA,Both,578,578,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
12,56,"Meta-analysis of telomere length in 19 713 subjects reveals high heritability, stronger maternal inheritance and a paternal age effect",GRAPHIC,"Broer et al., 2013",2016-01-16,0.0011,,0.0029,0.379,3,981,0.012,,0.01212,0.0319229,,,,F,NA,Both,984,984,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
12,57,"Meta-analysis of telomere length in 19 713 subjects reveals high heritability, stronger maternal inheritance and a paternal age effect",LLS,"Broer et al., 2013",2016-01-16,0.003,,0.0021,1.429,3,1575,0.036,,0.03598,0.0251650,,,,F,NA,Both,1578,1578,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
12,58,"Meta-analysis of telomere length in 19 713 subjects reveals high heritability, stronger maternal inheritance and a paternal age effect",NTR,"Broer et al., 2013",2016-01-16,0.0064,,0.0031,2.065,3,1543,0.052,,0.05250,0.0253874,,,,F,NA,Both,1546,1546,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
12,59,"Meta-analysis of telomere length in 19 713 subjects reveals high heritability, stronger maternal inheritance and a paternal age effect",QIMR,"Broer et al., 2013",2016-01-16,0.0072,,0.0048,1.500,3,812,0.053,,0.05260,0.0349960,,,,F,NA,Both,815,815,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Both,Neither,No,Human,No,Regression,No,Linear
12,60,"Meta-analysis of telomere length in 19 713 subjects reveals high heritability, stronger maternal inheritance and a paternal age effect",Meta-analysis,"Broer et al., 2013",2016-01-16,0.0032,,0.0013,2.462,8,5119,0.034,,0.03439,0.0139534,,,,F,NA,Both,5127,5127,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
13,61,Paternal age is positively linked to telomere length of children,"""On average, offspring had 22 more base pairs for each year older their father was at conception (95% CI 5.238.3 bp, r = 0.46, P = 0.01, n = 113 – after adjustment for subject age)""","Unryn et al., 2005",2005-02-08,,,,,,,,0.460,0.46150,0.0712534,,,,M,NA,Both,125,125,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFInGel,Adult,Neither,Yes,Human,No,Regression,No,Linear
